word,frequency,percentage
sé,949,0.60%
pasa,602,0.38%
he,586,0.37%
sea,483,0.31%
alguien,475,0.30%
dijo,419,0.26%
hace,403,0.25%
estaba,378,0.24%
parece,357,0.23%
serio,347,0.22%
has,344,0.22%
mejores,334,0.21%
hecho,309,0.20%
después,290,0.18%
ven,285,0.18%
van,277,0.18%
haciendo,273,0.17%
jamás,268,0.17%
cierto,264,0.17%
crees,257,0.16%
dije,257,0.16%
será,251,0.16%
había,249,0.16%
podría,244,0.15%
hagas,244,0.15%
han,241,0.15%
tenía,228,0.14%
fuera,227,0.14%
seguro,227,0.14%
somos,217,0.14%
ve,214,0.14%
parte,207,0.13%
equipo,199,0.13%
vaya,198,0.13%
ves,195,0.12%
acuerdo,194,0.12%
visto,193,0.12%
sido,189,0.12%
estado,186,0.12%
haces,183,0.12%
digo,182,0.12%
quería,182,0.12%
pasó,181,0.11%
morir,179,0.11%
forma,178,0.11%
mierda,178,0.11%
nave,169,0.11%
veo,168,0.11%
suerte,166,0.10%
hizo,166,0.10%
oigan,162,0.10%
lado,160,0.10%
hacerlo,158,0.10%
cara,158,0.10%
mientras,157,0.10%
alguna,157,0.10%
veces,157,0.10%
pueden,154,0.10%
siquiera,153,0.10%
casi,153,0.10%
volver,149,0.09%
hice,149,0.09%
único,147,0.09%
da,146,0.09%
hemos,146,0.09%
quieren,144,0.09%
dijiste,142,0.09%
sigue,139,0.09%
sólo,139,0.09%
sería,137,0.09%
pasar,137,0.09%
arriba,137,0.09%
carajo,134,0.08%
dices,133,0.08%
hablando,133,0.08%
pasado,132,0.08%
significa,132,0.08%
matar,131,0.08%
cállate,131,0.08%
justo,130,0.08%
vi,129,0.08%
dime,128,0.08%
contra,128,0.08%
sabía,127,0.08%
hiciste,127,0.08%
deja,127,0.08%
viene,127,0.08%
fuerte,126,0.08%
cerca,125,0.08%
arma,124,0.08%
dentro,123,0.08%
segundo,122,0.08%
maldito,121,0.08%
muerte,120,0.08%
hazlo,120,0.08%
cuenta,118,0.07%
algún,118,0.07%
manos,117,0.07%
dicho,117,0.07%
muerto,116,0.07%
atrás,116,0.07%
is,116,0.07%
hubi,116,0.07%
dejar,115,0.07%
debemos,115,0.07%
miren,114,0.07%
demasiado,113,0.07%
infierno,113,0.07%
abajo,113,0.07%
creí,112,0.07%
déjame,112,0.07%
cielo,112,0.07%
increíble,111,0.07%
encontrar,111,0.07%
venga,111,0.07%
atención,111,0.07%
to,111,0.07%
fuerza,110,0.07%
llegar,110,0.07%
armas,110,0.07%
debes,109,0.07%
creer,109,0.07%
hago,109,0.07%
debería,109,0.07%
iba,109,0.07%
salvar,109,0.07%
dame,106,0.07%
paz,106,0.07%
sabemos,106,0.07%
activa,106,0.07%
genio,104,0.07%
haré,103,0.07%
pasando,103,0.07%
control,102,0.06%
durante,102,0.06%
dicen,101,0.06%
guerra,101,0.06%
it,101,0.06%
maldita,100,0.06%
pensé,100,0.06%
además,99,0.06%
nuestras,99,0.06%
haya,98,0.06%
última,98,0.06%
todavía,97,0.06%
señal,95,0.06%
tuve,94,0.06%
fui,94,0.06%
extraño,94,0.06%
llegó,93,0.06%
culpa,93,0.06%
mala,93,0.06%
peor,92,0.06%
vámonos,92,0.06%
supongo,91,0.06%
esté,91,0.06%
mar,90,0.06%
príncipe,90,0.06%
gustaría,90,0.06%
raro,90,0.06%
and,90,0.06%
seguir,89,0.06%
hacen,89,0.06%
red,89,0.06%
supuesto,88,0.06%
vete,88,0.06%
única,88,0.06%
robot,87,0.05%
navidad,87,0.05%
ningún,86,0.05%
gusto,85,0.05%
llama,84,0.05%
destino,84,0.05%
divertido,84,0.05%
digas,82,0.05%
apoyo,82,0.05%
sueño,81,0.05%
falta,81,0.05%
hacemos,81,0.05%
segundos,81,0.05%
odio,81,0.05%
viaje,80,0.05%
seguridad,80,0.05%
of,80,0.05%
queremos,79,0.05%
bastante,79,0.05%
demás,78,0.05%
venir,78,0.05%
vuelta,78,0.05%
mil,77,0.05%
orden,77,0.05%
caballeros,77,0.05%
suena,77,0.05%
cualquier,76,0.05%
oro,76,0.05%
manera,76,0.05%
seis,76,0.05%
frente,76,0.05%
queda,75,0.05%
buscar,75,0.05%
humano,75,0.05%
haga,75,0.05%
ninguna,75,0.05%
puta,75,0.05%
rico,74,0.05%
listos,74,0.05%
this,74,0.05%
tesoro,73,0.05%
tomar,73,0.05%
trato,73,0.05%
cuanto,73,0.05%
podrías,73,0.05%
siente,73,0.05%
are,73,0.05%
último,72,0.05%
hubiera,72,0.05%
creen,72,0.05%
paso,72,0.05%
viendo,72,0.05%
siendo,71,0.04%
haz,71,0.04%
muchacho,71,0.04%
recuerdas,71,0.04%
diré,71,0.04%
fueron,71,0.04%
habrá,70,0.04%
diciendo,70,0.04%
llevar,70,0.04%
acá,70,0.04%
deben,70,0.04%
oficial,70,0.04%
llamo,70,0.04%
that,70,0.04%
lamento,69,0.04%
afuera,69,0.04%
largo,69,0.04%
enorme,69,0.04%
lindo,69,0.04%
sombrero,69,0.04%
haría,68,0.04%
cerebro,68,0.04%
traje,68,0.04%
adentro,68,0.04%
what,68,0.04%
buscando,67,0.04%
tonto,67,0.04%
blanco,67,0.04%
atlas,67,0.04%
dale,66,0.04%
reglas,66,0.04%
mayor,66,0.04%
acabó,66,0.04%
salió,66,0.04%
semana,66,0.04%
metros,66,0.04%
perdido,65,0.04%
tenga,65,0.04%
fuiste,65,0.04%
tenido,65,0.04%
estuvo,65,0.04%
millones,65,0.04%
comunidad,65,0.04%
verás,64,0.04%
cueva,64,0.04%
resto,64,0.04%
libertad,64,0.04%
encontré,64,0.04%
estuve,64,0.04%
algunos,64,0.04%
diga,64,0.04%
avión,64,0.04%
novio,64,0.04%
mente,63,0.04%
espacio,63,0.04%
querido,63,0.04%
eran,63,0.04%
recuerdo,63,0.04%
espacial,63,0.04%
varita,63,0.04%
auxilio,63,0.04%
regresar,62,0.04%
dan,62,0.04%
línea,62,0.04%
vidas,62,0.04%
lejos,61,0.04%
diferente,61,0.04%
océano,61,0.04%
podía,61,0.04%
asesino,61,0.04%
tuyo,60,0.04%
preocupes,60,0.04%
trabajar,60,0.04%
esperando,60,0.04%
dulce,60,0.04%
estaban,60,0.04%
subtítulos,60,0.04%
lámpara,59,0.04%
majestad,59,0.04%
verdadero,59,0.04%
deseo,59,0.04%
estabas,59,0.04%
pensando,59,0.04%
humana,59,0.04%
sueños,58,0.04%
quizá,58,0.04%
oído,58,0.04%
futuro,58,0.04%
volar,58,0.04%
siguiente,58,0.04%
we,58,0.04%
cambio,58,0.04%
murió,58,0.04%
pude,57,0.04%
quisiera,57,0.04%
broma,57,0.04%
dólares,57,0.04%
fuerzas,57,0.04%
esperen,57,0.04%
querida,56,0.04%
vuelve,56,0.04%
conoces,56,0.04%
podríamos,56,0.04%
lleva,56,0.04%
seas,56,0.04%
salvo,56,0.04%
disculpe,56,0.04%
placer,56,0.04%
fondo,56,0.04%
terminar,56,0.04%
código,56,0.04%
trasero,56,0.04%
podrá,55,0.03%
hará,55,0.03%
puesto,55,0.03%
llamada,55,0.03%
harlan,55,0.03%
sentido,55,0.03%
ali,54,0.03%
hogar,54,0.03%
pase,54,0.03%
cita,54,0.03%
esperanza,54,0.03%
sigues,54,0.03%
llegado,53,0.03%
baja,53,0.03%
pie,53,0.03%
vengan,53,0.03%
irnos,53,0.03%
for,53,0.03%
prisión,53,0.03%
reagan,53,0.03%
seré,52,0.03%
verlo,52,0.03%
prueba,52,0.03%
quieras,52,0.03%
decirte,52,0.03%
grupo,52,0.03%
sucede,52,0.03%
recuerda,51,0.03%
llamado,51,0.03%
dile,51,0.03%
doy,51,0.03%
viste,51,0.03%
basura,51,0.03%
encima,51,0.03%
solicito,51,0.03%
know,51,0.03%
vemos,51,0.03%
ley,50,0.03%
quiera,50,0.03%
gustan,50,0.03%
bienvenida,50,0.03%
intento,50,0.03%
oiga,50,0.03%
coronel,50,0.03%
malos,50,0.03%
yes,50,0.03%
aéreo,50,0.03%
duda,50,0.03%
preocupación,50,0.03%
pena,49,0.03%
trampa,49,0.03%
verte,49,0.03%
baño,49,0.03%
decirle,49,0.03%
prisa,49,0.03%
perder,49,0.03%
espada,49,0.03%
eras,49,0.03%
escapar,49,0.03%
respuesta,49,0.03%
tratando,49,0.03%
iré,49,0.03%
evitar,49,0.03%
personal,49,0.03%
vienen,49,0.03%
do,49,0.03%
robots,49,0.03%
hubie,49,0.03%
galaxar,49,0.03%
alegra,48,0.03%
quédate,48,0.03%
normal,48,0.03%
martín,48,0.03%
tenías,48,0.03%
venido,48,0.03%
estará,48,0.03%
ambos,48,0.03%
segura,48,0.03%
agente,48,0.03%
seguramente,48,0.03%
preguntó,48,0.03%
maldición,48,0.03%
pedir,47,0.03%
cumpleaños,47,0.03%
robar,47,0.03%
incluso,47,0.03%
súper,47,0.03%
brazos,47,0.03%
acabo,47,0.03%
irme,47,0.03%
detrás,47,0.03%
sientes,47,0.03%
ojalá,47,0.03%
don,47,0.03%
vayas,47,0.03%
teléfono,47,0.03%
oficina,47,0.03%
mitad,47,0.03%
diría,47,0.03%
pelea,47,0.03%
imbécil,47,0.03%
negra,47,0.03%
pavo,47,0.03%
lobo,47,0.03%
trata,46,0.03%
órdenes,46,0.03%
piernas,46,0.03%
deberías,46,0.03%
acaba,46,0.03%
señores,46,0.03%
bolsa,46,0.03%
alma,46,0.03%
sale,46,0.03%
roca,46,0.03%
estábamos,46,0.03%
suelo,46,0.03%
vayan,46,0.03%
inmediato,46,0.03%
sentir,46,0.03%
carta,46,0.03%
serás,45,0.03%
bomba,45,0.03%
abre,45,0.03%
toca,45,0.03%
boda,45,0.03%
subir,45,0.03%
vista,45,0.03%
correcto,45,0.03%
entiendes,45,0.03%
líder,45,0.03%
pieza,45,0.03%
valiente,45,0.03%
golpe,44,0.03%
modo,44,0.03%
dado,44,0.03%
existe,44,0.03%
puedas,44,0.03%
par,44,0.03%
noticia,44,0.03%
canción,44,0.03%
gato,44,0.03%
darle,44,0.03%
ejército,44,0.03%
debajo,44,0.03%
propia,44,0.03%
gobierno,44,0.03%
batalla,44,0.03%
cabo,44,0.03%
they,44,0.03%
corran,44,0.03%
profundo,44,0.03%
nick,44,0.03%
sexual,44,0.03%
película,44,0.03%
grillo,44,0.03%
viento,43,0.03%
posición,43,0.03%
trono,43,0.03%
habría,43,0.03%
vio,43,0.03%
don't,43,0.03%
gracioso,43,0.03%
algunas,43,0.03%
decisión,43,0.03%
escuela,43,0.03%
