word,frequency,percentage
sé,518,0.58%
pasa,380,0.43%
he,377,0.42%
dijo,320,0.36%
mejores,304,0.34%
has,259,0.29%
alguien,253,0.28%
sea,250,0.28%
estaba,246,0.28%
hace,242,0.27%
parece,195,0.22%
hecho,172,0.19%
serio,172,0.19%
jamás,170,0.19%
después,168,0.19%
será,167,0.19%
ven,166,0.19%
había,165,0.18%
van,156,0.17%
dije,155,0.17%
fuera,148,0.17%
han,144,0.16%
crees,142,0.16%
haciendo,137,0.15%
podría,136,0.15%
cierto,133,0.15%
vaya,132,0.15%
seguro,130,0.15%
veo,126,0.14%
tenía,122,0.14%
visto,121,0.14%
ves,121,0.14%
parte,118,0.13%
sido,118,0.13%
somos,118,0.13%
sólo,117,0.13%
ve,115,0.13%
haces,112,0.13%
da,109,0.12%
lado,109,0.12%
nave,109,0.12%
quería,104,0.12%
activa,102,0.11%
arriba,98,0.11%
morir,98,0.11%
pasó,96,0.11%
digo,94,0.11%
venga,94,0.11%
casi,94,0.11%
mientras,94,0.11%
suerte,93,0.10%
cerca,92,0.10%
dicho,92,0.10%
hemos,91,0.10%
pasado,89,0.10%
forma,89,0.10%
acuerdo,89,0.10%
fuerte,88,0.10%
dentro,88,0.10%
dices,87,0.10%
veces,87,0.10%
hacerlo,86,0.10%
oigan,86,0.10%
equipo,86,0.10%
hizo,85,0.10%
volver,84,0.09%
dime,84,0.09%
alguna,84,0.09%
contra,84,0.09%
único,82,0.09%
mar,81,0.09%
príncipe,81,0.09%
siquiera,80,0.09%
sería,80,0.09%
pasar,80,0.09%
hice,80,0.09%
cara,80,0.09%
estado,79,0.09%
genio,79,0.09%
deja,79,0.09%
justo,78,0.09%
matar,78,0.09%
cállate,78,0.09%
fuerza,78,0.09%
navidad,78,0.09%
debes,77,0.09%
sigue,75,0.08%
muerto,74,0.08%
sabía,74,0.08%
viene,74,0.08%
cielo,74,0.08%
encontrar,73,0.08%
pueden,73,0.08%
algún,72,0.08%
hablando,71,0.08%
quieren,71,0.08%
salvar,71,0.08%
hago,70,0.08%
muerte,69,0.08%
peor,69,0.08%
mala,69,0.08%
iba,68,0.08%
déjame,68,0.08%
vi,67,0.07%
hagas,67,0.07%
debemos,67,0.07%
significa,67,0.07%
tesoro,66,0.07%
manos,66,0.07%
última,66,0.07%
abajo,66,0.07%
arma,66,0.07%
demasiado,65,0.07%
atrás,65,0.07%
sueño,64,0.07%
infierno,64,0.07%
dame,63,0.07%
dejar,62,0.07%
además,62,0.07%
haré,61,0.07%
llegar,61,0.07%
miren,61,0.07%
cuenta,60,0.07%
muchacho,59,0.07%
hiciste,59,0.07%
atención,59,0.07%
dijiste,59,0.07%
auxilio,59,0.07%
cueva,58,0.06%
falta,58,0.06%
increíble,57,0.06%
viaje,57,0.06%
vete,57,0.06%
extraño,57,0.06%
enorme,57,0.06%
paso,57,0.06%
tuve,56,0.06%
destino,56,0.06%
apoyo,56,0.06%
fui,55,0.06%
culpa,55,0.06%
seguir,55,0.06%
dicen,55,0.06%
maldito,54,0.06%
debería,54,0.06%
creí,54,0.06%
ali,54,0.06%
haya,54,0.06%
lámpara,53,0.06%
creer,53,0.06%
llegó,53,0.06%
dale,53,0.06%
océano,53,0.06%
bastante,53,0.06%
nuestras,53,0.06%
queda,52,0.06%
ningún,52,0.06%
sombrero,52,0.06%
supongo,51,0.06%
rico,51,0.06%
habrá,51,0.06%
